score,BA,H,RBI,BB,k,SB,holds,avgR,ER,bb,SO,nHR
5,30,10,5,3,5,0,10,5,5,3,5,1
4,37,11,4,1,5,0,11,4,4,1,5,1
7,38,16,7,3,2,1,16,7,7,3,2,1
5,39,12,4,2,4,0,12,5,3,2,4,1
2,29,5,1,0,2,0,5,2,2,0,2,0
2,35,9,2,0,7,0,9,2,2,0,7,0
7,33,11,6,5,3,2,11,7,7,5,3,1
2,30,7,2,1,4,0,7,2,2,1,4,0
3,28,6,3,1,2,0,6,3,3,1,2,0
1,28,5,1,0,3,0,5,1,1,0,3,0
0,32,9,0,3,8,1,9,0,0,3,8,0
2,36,11,2,2,6,2,11,2,2,2,6,0
4,31,8,3,0,4,0,8,4,3,0,4,0
0,26,3,0,4,8,0,3,0,0,4,9,0
7,37,14,7,0,3,0,14,7,7,0,3,0
3,34,7,3,5,3,3,7,3,3,5,3,1
10,35,12,7,1,3,1,12,10,5,1,3,0
1,34,10,1,4,12,2,10,1,1,4,12,0
4,28,6,3,3,4,0,6,4,3,3,4,1
8,36,13,8,3,5,0,13,8,8,3,5,1
0,29,6,0,2,2,1,6,0,0,2,2,0
0,35,8,0,2,11,0,8,0,0,2,11,0
3,30,9,3,3,3,1,9,3,3,3,3,0
1,32,6,1,1,4,1,6,1,1,1,4,0
7,34,13,7,1,8,0,13,7,7,1,8,2
7,42,10,7,6,11,0,10,7,7,6,11,2
8,42,14,6,8,4,0,14,8,6,8,4,2
3,37,12,3,0,5,1,12,3,3,0,5,1
2,33,7,2,0,2,0,7,2,2,0,2,1
3,40,13,3,3,4,0,13,3,3,3,4,0
4,31,7,4,6,4,0,7,4,4,6,4,3
3,40,8,1,2,0,1,8,3,2,2,0,1
3,43,12,3,2,7,1,12,3,3,2,7,0
1,32,4,1,3,2,1,4,1,0,3,2,0
3,28,5,2,2,9,0,5,3,3,2,9,0
3,31,7,3,1,4,1,7,3,3,1,4,1
17,42,16,15,2,3,3,16,17,12,2,3,2
8,40,14,5,1,2,0,14,8,5,1,2,0
13,41,20,9,3,5,0,20,13,12,3,5,1
4,32,12,4,2,4,0,12,4,4,2,4,2
2,33,10,2,0,4,1,10,2,2,0,4,1
2,29,8,2,1,5,0,8,2,2,1,5,1
1,32,8,1,1,4,0,8,1,1,1,4,0
11,43,18,11,1,3,2,18,11,11,1,3,4
6,37,10,5,4,6,4,10,6,4,4,6,0
11,37,12,10,4,3,0,12,11,10,4,3,2
7,38,11,7,1,5,1,11,7,7,1,5,1
3,35,8,2,1,4,0,8,3,2,1,4,0
7,32,9,7,1,3,0,9,7,3,1,3,1
8,38,14,8,4,6,0,14,8,8,4,6,1
3,31,7,3,3,7,0,7,3,3,3,7,0
4,34,8,4,4,3,1,8,4,3,4,3,1
3,31,6,0,6,3,2,6,3,0,6,3,0
0,30,5,0,0,3,1,5,0,0,0,3,0
2,27,5,2,0,3,2,5,2,2,0,3,0
3,35,8,3,7,9,1,8,3,3,7,9,0
4,31,10,4,5,2,0,10,4,4,5,2,0
4,33,11,4,4,3,0,11,4,4,4,3,0
3,27,7,3,1,7,0,7,3,3,1,7,0
5,30,6,4,8,5,4,6,5,5,8,5,0
3,32,9,3,5,6,0,9,3,3,5,6,0
6,37,9,6,8,7,3,9,6,3,8,7,0
5,34,11,4,3,4,0,11,5,3,3,4,0
3,33,8,2,2,5,0,8,3,2,2,5,0
5,31,8,3,4,9,0,8,5,3,4,9,0
5,38,15,4,1,4,0,15,5,4,1,4,0
4,33,8,3,2,8,0,8,4,4,2,8,1
5,34,7,4,1,6,0,7,5,4,1,6,1
11,39,14,10,5,3,0,14,11,9,5,3,1
0,27,2,0,3,9,0,2,0,0,3,9,0
7,32,10,6,0,7,0,10,7,5,0,7,2
2,28,4,2,0,6,0,4,2,2,0,6,0
1,30,7,1,0,7,2,7,1,1,0,7,1
10,41,14,9,3,5,0,14,10,10,3,5,0
9,40,16,9,1,3,0,16,9,9,1,3,2
7,38,12,7,7,9,0,12,7,7,7,9,0
7,45,14,6,3,8,2,14,7,2,3,8,0
3,36,9,3,5,13,1,9,3,3,5,13,0
4,31,10,4,3,6,1,10,4,4,3,6,2
3,32,6,3,3,9,0,6,3,3,3,9,1
6,36,14,6,1,3,2,14,6,6,1,3,0
11,42,18,11,4,6,0,18,11,7,4,6,2
1,32,6,1,2,5,0,6,1,1,2,5,1
5,34,10,5,6,8,2,10,5,4,6,8,1
7,34,12,7,3,2,0,12,7,7,3,2,1
8,40,15,8,4,11,3,15,8,8,4,11,1
1,31,5,1,3,5,1,5,1,0,3,5,0
1,33,5,1,1,6,1,5,1,1,1,6,0
2,31,9,1,1,4,2,9,2,1,1,4,0
10,40,16,9,4,6,0,16,10,10,4,6,2
2,32,7,2,4,4,0,7,2,2,4,4,2
5,35,11,5,4,7,0,11,5,5,4,7,1
7,35,13,7,5,4,0,13,7,7,5,4,1
5,33,10,5,4,5,0,10,5,5,4,5,2
0,28,5,0,5,6,0,5,0,0,5,6,0
7,37,10,7,3,2,2,10,7,7,3,2,2
0,27,2,0,1,3,1,2,0,0,1,3,0
3,29,10,3,2,5,0,10,3,3,2,5,0
1,28,5,1,3,6,3,5,1,1,3,6,1
4,34,8,3,0,5,2,8,4,2,0,5,1
1,34,8,1,2,7,0,8,1,1,2,7,1
1,30,5,1,3,7,0,5,1,0,3,7,0
19,42,17,18,11,3,1,17,19,14,11,3,2
3,30,6,3,6,4,0,6,3,3,6,4,0
12,41,16,11,3,7,0,16,12,9,3,7,2
1,30,4,1,1,8,0,4,1,1,1,8,1
11,38,15,10,4,7,3,15,11,10,4,7,4
2,33,7,2,5,10,0,7,2,2,5,10,1
5,30,8,4,5,5,1,8,5,5,5,5,1
2,33,8,1,4,8,3,8,2,1,4,8,0
4,31,9,4,2,4,0,9,4,4,2,4,0
8,41,14,7,3,7,4,14,8,7,3,7,1
3,34,11,3,5,4,1,11,3,3,5,4,0
7,32,8,7,5,7,0,8,7,7,5,7,1
1,32,9,1,4,4,1,9,1,1,4,4,0
6,35,11,6,5,7,1,11,6,6,5,7,1
1,30,5,1,3,8,0,5,1,1,3,8,0
7,40,13,6,3,8,5,13,7,7,3,8,0
9,33,10,9,10,2,1,10,9,9,10,2,2
8,35,10,8,3,7,0,10,8,8,3,7,3
4,32,7,4,2,7,1,7,4,4,2,7,1
9,36,12,8,4,4,1,12,9,7,4,4,1
4,38,11,4,5,2,2,11,4,3,5,2,0
5,34,9,5,1,3,1,9,5,5,1,3,1
6,32,9,5,4,9,1,9,6,4,4,9,1
4,37,10,4,3,8,5,10,4,4,3,8,2
6,36,12,6,4,5,0,12,6,6,4,5,0
9,38,12,7,4,3,1,12,9,5,4,3,3
2,33,10,2,4,3,0,10,2,2,4,3,0
3,31,6,2,3,5,0,6,3,3,3,5,1
2,33,8,2,2,4,0,8,2,1,2,4,1
5,37,14,4,5,5,1,14,5,5,5,5,1
2,32,5,1,3,7,2,5,2,0,3,7,0
5,32,9,5,4,4,0,9,5,3,4,4,0
3,30,5,3,4,5,4,5,3,3,4,5,1
10,39,10,10,6,10,2,10,10,9,6,10,2
5,37,8,4,0,7,1,8,5,2,0,7,0
10,40,14,10,5,6,0,14,10,7,5,6,1
2,30,5,2,2,2,0,5,2,2,2,2,2
4,30,6,3,5,3,1,6,4,2,5,3,0
6,35,12,5,5,6,4,12,6,5,5,6,1
7,35,10,6,2,6,1,10,7,6,2,6,1
2,33,11,2,1,5,0,11,2,2,1,5,0
4,33,9,3,1,5,1,9,4,4,1,5,0
14,36,14,11,8,9,5,14,14,11,8,9,1
12,41,13,11,6,7,0,13,12,9,6,7,3
2,33,5,1,4,9,2,5,2,1,4,9,0
3,31,6,2,1,7,1,6,3,2,1,7,1
1,29,7,1,5,7,0,7,1,1,5,7,0
6,32,9,6,2,3,0,9,6,6,2,3,2
1,29,5,1,4,5,1,5,1,1,4,5,0
7,33,11,7,4,3,1,11,7,6,4,3,1
10,36,12,10,4,0,1,12,10,10,4,0,2
6,41,13,5,0,6,2,13,6,1,0,6,0
5,39,13,5,4,10,1,13,5,5,4,10,1
5,35,6,5,1,5,0,6,5,2,1,5,1
5,37,9,4,3,2,1,9,5,4,3,2,1
5,37,12,5,1,4,0,12,5,4,1,4,2
4,40,13,4,6,9,0,13,4,4,6,9,0
1,31,5,1,2,7,2,5,1,1,2,7,0
7,33,9,7,1,6,1,9,7,5,1,6,4
9,39,14,9,6,9,0,14,9,8,6,9,3
4,34,8,4,5,11,2,8,4,3,5,11,0
7,32,8,3,9,2,1,8,7,3,9,2,0
4,38,11,4,2,7,1,11,4,4,2,7,2
8,35,13,6,4,5,2,13,8,8,4,5,1
3,35,10,3,2,6,0,10,3,3,2,6,2
1,30,4,1,2,8,0,4,1,1,2,8,1
6,32,10,5,4,6,3,10,6,5,4,6,0
1,35,10,1,1,8,0,10,1,1,1,8,0
6,31,10,6,4,11,0,10,6,6,4,11,0
6,38,12,6,2,8,1,12,6,2,2,8,1
13,42,18,11,2,8,3,18,13,10,2,8,0
3,34,8,2,1,2,0,8,3,2,1,2,0
0,31,6,0,1,2,0,6,0,0,1,2,0
3,36,8,2,0,12,0,8,3,2,0,12,0
5,30,8,5,3,3,0,8,5,5,3,3,0
5,34,10,5,2,4,2,10,5,4,2,4,0
1,30,3,1,2,5,0,3,1,1,2,5,0
3,30,8,2,4,3,1,8,3,3,4,3,1
4,29,8,3,3,5,0,8,4,3,3,5,2
2,30,6,2,2,3,0,6,2,2,2,3,0
3,26,6,2,4,6,2,6,3,1,4,6,0
0,25,6,0,3,9,0,6,0,0,3,9,0
2,25,7,1,2,3,0,7,2,1,2,3,1
1,35,9,1,0,6,0,9,1,1,0,6,0
6,34,13,6,6,5,1,13,6,5,6,5,1
9,36,14,9,5,2,1,14,9,8,5,2,3
3,38,10,3,2,6,2,10,3,2,2,6,0
0,32,7,0,1,3,0,7,0,0,1,3,0
5,30,7,5,2,2,1,7,5,4,2,2,3
0,33,6,0,4,6,0,6,0,0,4,6,0
6,32,10,6,2,3,1,10,6,4,2,3,2
3,35,11,3,1,3,2,11,3,3,1,3,0
2,33,6,2,2,2,0,6,2,1,2,2,0
6,32,7,4,7,2,1,7,6,4,7,2,1
2,30,9,2,3,4,1,9,2,2,3,4,0
4,33,7,4,4,7,1,7,4,2,4,7,0
6,36,11,4,6,5,0,11,6,1,6,5,0
2,33,12,2,2,2,0,12,2,2,2,2,0
1,27,3,1,3,9,1,3,1,1,3,9,0
7,39,13,7,3,3,1,13,7,3,3,3,0
10,34,12,8,1,3,9,12,10,8,1,3,1
8,44,14,8,3,8,5,14,8,8,3,8,2
7,41,14,7,3,7,2,14,7,6,3,7,0
5,33,8,5,4,3,0,8,5,5,4,3,0
9,34,13,8,3,4,5,13,9,8,3,4,2
6,38,11,6,1,6,3,11,6,3,1,6,0
4,34,7,4,4,7,1,7,4,4,4,7,1
7,35,8,5,2,6,2,8,7,6,2,6,2
5,34,9,5,6,7,1,9,5,4,6,7,1
2,32,7,2,3,11,0,7,2,2,3,11,2
4,29,7,4,1,5,2,7,4,4,1,5,2
6,36,12,6,2,4,1,12,6,4,2,4,1
5,36,10,5,2,6,1,10,5,4,2,6,2
5,23,7,2,3,4,2,7,5,2,3,4,0
1,21,4,1,0,2,0,4,1,0,0,2,0
8,37,13,6,4,4,4,13,8,6,4,4,2
1,31,7,1,2,6,0,7,1,1,2,6,1
9,40,12,7,4,5,0,12,9,7,4,5,1
3,34,9,3,3,4,1,9,3,1,3,4,0
5,34,8,2,2,9,0,8,5,1,2,9,0
10,38,14,10,3,1,5,14,10,10,3,1,1
7,40,13,4,2,4,0,13,7,3,2,4,0
5,34,10,4,5,8,0,10,5,5,5,8,0
0,28,4,0,2,6,0,4,0,0,2,6,0
2,29,7,2,5,3,2,7,2,2,5,3,1
4,32,4,4,3,7,2,4,4,1,3,7,0
2,30,8,2,2,9,0,8,2,2,2,9,0
10,40,16,10,1,8,3,16,10,9,1,8,0
0,30,4,0,0,5,0,4,0,0,0,5,0
7,39,15,7,3,6,2,15,7,7,3,6,0
2,30,5,2,6,7,2,5,2,2,6,7,1
1,31,4,1,1,7,0,4,1,1,1,7,1
5,32,10,4,1,4,0,10,5,3,1,4,0
4,36,10,4,1,4,2,10,4,3,1,4,0
7,33,11,5,4,4,4,11,7,5,4,4,0
15,45,18,14,5,6,2,18,15,12,5,6,1
1,34,10,1,0,5,0,10,1,1,0,5,0
3,34,9,2,5,3,0,9,3,2,5,3,1
4,28,7,3,4,6,3,7,4,3,4,6,0
10,40,18,8,5,8,0,18,10,8,5,8,1
0,27,4,0,3,4,1,4,0,0,3,4,0
4,36,10,4,1,14,0,10,4,4,1,14,2
13,44,22,12,3,4,2,22,13,10,3,4,0
2,33,8,1,1,4,0,8,2,1,1,4,0
0,28,3,0,1,3,0,3,0,0,1,3,0
2,32,9,2,3,8,0,9,2,2,3,8,0
3,28,5,3,2,0,0,5,3,3,2,0,1
2,29,5,2,1,9,0,5,2,2,1,9,1
3,32,7,3,0,5,1,7,3,2,0,5,2
2,34,9,1,2,7,2,9,2,1,2,7,0
4,31,12,3,2,3,0,12,4,3,2,3,0
9,41,17,9,2,5,1,17,9,9,2,5,2
6,36,12,6,3,5,0,12,6,6,3,5,2
2,29,3,2,3,3,0,3,2,0,3,3,0
4,31,8,4,2,3,2,8,4,2,2,3,1
9,38,14,8,2,6,5,14,9,4,2,6,0
5,38,11,4,3,8,0,11,5,2,3,8,0
3,37,11,3,6,7,0,11,3,3,6,7,0
4,33,10,4,4,2,0,10,4,4,4,2,0
15,42,16,15,2,7,2,16,15,13,2,7,6
3,36,10,2,0,2,0,10,3,2,0,2,2
8,38,12,7,2,5,1,12,8,7,2,5,1
12,34,11,9,7,6,0,11,12,9,7,6,2
6,35,10,4,3,7,0,10,6,2,3,7,0
11,31,10,11,4,2,1,10,11,11,4,2,3
8,35,9,8,4,9,3,9,8,8,4,9,3
0,28,3,0,2,4,0,3,0,0,2,4,0
6,44,12,5,1,6,1,12,6,3,1,6,1
6,48,18,4,2,4,0,18,6,4,2,4,1
0,22,3,0,2,11,0,3,0,0,2,11,0
5,26,10,5,1,2,1,10,5,2,1,2,1
0,30,3,0,3,12,0,3,0,0,3,12,0
5,34,8,4,0,5,0,8,5,2,0,5,1
3,35,7,3,4,12,0,7,3,3,4,12,0
3,37,10,2,5,6,2,10,3,3,5,6,0
1,21,6,1,3,5,0,6,1,1,3,5,1
3,21,6,2,2,2,2,6,3,2,2,2,0
10,42,15,9,3,11,3,15,10,9,3,11,3
2,31,7,2,2,7,1,7,2,2,2,7,1
2,33,6,2,1,2,0,6,2,2,1,2,0
11,35,11,9,6,5,1,11,11,7,6,5,1
0,31,5,0,1,5,2,5,0,0,1,5,0
4,30,7,4,2,4,0,7,4,0,2,4,1
5,31,6,4,5,6,2,6,5,4,5,6,0
2,35,7,2,2,6,0,7,2,2,2,6,0
11,42,15,11,2,4,1,15,11,11,2,4,3
0,29,5,0,3,8,0,5,0,0,3,8,0
8,35,10,7,4,3,2,10,8,6,4,3,2
4,36,11,4,1,5,0,11,4,4,1,5,1
0,29,5,0,1,5,0,5,0,0,1,5,0
1,26,6,1,1,5,0,6,1,1,1,5,0
1,32,5,1,2,9,1,5,1,1,2,9,0
15,42,17,13,2,5,1,17,15,9,2,5,2
17,46,19,17,9,3,3,19,17,16,9,3,5
9,42,17,8,9,4,3,17,9,9,9,4,1
10,37,11,8,4,4,4,11,10,10,4,4,2
1,34,7,1,3,4,0,7,1,1,3,4,0
2,32,9,2,4,5,0,9,2,2,4,5,0
1,28,2,1,5,7,1,2,1,1,5,7,0
10,38,12,9,3,4,0,12,10,5,3,4,1
0,28,4,0,1,10,0,4,0,0,1,10,0
10,38,11,9,3,8,1,11,10,9,3,8,0
8,37,13,7,4,7,1,13,8,7,4,7,0
4,43,11,4,3,6,0,11,4,4,3,6,0
4,43,9,3,2,7,1,9,4,3,2,7,0
3,33,9,2,3,3,0,9,3,3,3,3,0
4,31,10,4,1,7,1,10,4,4,1,7,1
10,37,12,9,6,7,6,12,10,10,6,7,2
6,38,11,6,1,9,0,11,6,6,1,9,2
4,34,9,4,1,5,0,9,4,4,1,5,2
9,37,15,8,3,7,3,15,9,9,3,7,0
3,33,9,3,1,4,2,9,3,3,1,4,0
4,29,6,3,2,6,0,6,4,2,2,6,1
2,34,4,1,0,10,0,4,2,2,0,10,1
5,30,9,5,5,7,0,9,5,5,5,7,0
7,39,12,6,1,3,1,12,7,3,1,3,0
3,33,6,3,4,6,0,6,3,3,4,6,0
6,34,8,6,3,5,1,8,6,6,3,5,2
5,35,11,5,3,3,0,11,5,5,3,3,0
11,33,12,11,5,6,1,12,11,11,5,6,3
10,41,15,10,7,7,2,15,10,10,7,7,4
7,38,14,6,0,6,0,14,7,6,0,6,2
1,31,6,1,2,7,0,6,1,1,2,7,0
7,42,15,7,5,15,0,15,7,7,5,15,0
12,43,20,10,5,5,2,20,12,8,5,5,2
5,31,8,5,3,8,2,8,5,5,3,8,1
4,32,9,3,3,7,0,9,4,4,3,7,0
10,37,14,9,3,9,0,14,10,10,3,9,0
12,36,15,11,4,3,1,15,12,7,4,3,0
0,30,2,0,1,10,0,2,0,0,1,10,0
6,32,9,6,1,4,2,9,6,5,1,4,2
7,36,11,7,2,4,1,11,7,7,2,4,0
3,37,9,3,2,9,0,9,3,3,2,9,1
7,38,14,7,5,3,2,14,7,7,5,3,0
1,33,7,1,0,7,0,7,1,1,0,7,1
0,30,6,0,1,5,1,6,0,0,1,5,0
9,39,17,9,2,11,0,17,9,9,2,11,1
5,34,9,5,2,8,2,9,5,5,2,8,3
3,35,8,2,1,7,1,8,3,2,1,7,0
2,31,5,2,1,6,0,5,2,2,1,6,0
7,32,13,7,1,7,0,13,7,7,1,7,1
6,40,13,6,4,8,0,13,6,5,4,8,1
7,40,13,7,2,8,1,13,7,6,2,8,0
1,32,8,1,3,9,1,8,1,1,3,9,0
9,36,12,7,5,11,3,12,9,9,5,11,2
6,38,14,5,0,2,0,14,6,5,0,2,0
14,41,18,14,3,8,1,18,14,14,3,8,5
3,32,8,3,2,4,0,8,3,3,2,4,1
11,41,17,9,2,3,4,17,11,8,2,3,1
1,43,10,1,3,6,0,10,1,1,3,6,0
1,42,9,0,2,6,0,9,1,1,2,6,0
3,40,6,3,4,7,1,6,3,2,4,7,0
3,46,14,3,7,6,2,14,3,3,7,6,0
6,35,9,6,2,6,1,9,6,5,2,6,3
2,36,10,2,1,6,0,10,2,1,1,6,0
1,30,5,1,2,3,0,5,1,1,2,3,1
13,41,18,13,0,2,0,18,13,13,0,2,2
6,38,12,6,4,8,2,12,6,3,4,8,1
5,38,12,5,2,7,2,12,5,5,2,7,1
15,43,17,13,8,10,3,17,15,5,8,10,0
4,36,9,4,1,5,1,9,4,4,1,5,1
11,37,14,9,6,7,5,14,11,10,6,7,0
1,31,6,0,2,8,0,6,1,0,2,8,0
2,34,9,2,2,6,0,9,2,2,2,6,1
6,34,13,5,0,1,0,13,6,5,0,1,1
2,30,7,2,3,2,0,7,2,2,3,2,0
3,32,8,3,0,3,0,8,3,3,0,3,0
8,38,14,8,1,5,1,14,8,8,1,5,2
1,30,1,0,1,8,0,1,1,1,1,8,0
6,31,6,6,4,6,0,6,6,6,4,6,1
9,41,16,8,1,5,0,16,9,8,1,5,0
3,37,10,3,0,1,0,10,3,3,0,1,1
8,32,10,8,8,2,2,10,8,7,8,2,0
6,32,10,6,7,2,1,10,6,4,7,2,0
1,31,11,1,1,8,0,11,1,1,1,8,0
6,34,9,6,4,5,0,9,6,6,4,5,3
5,40,14,5,1,3,0,14,5,2,1,3,0
3,34,12,3,0,3,0,12,3,3,0,3,0
7,31,12,6,4,3,1,12,7,5,4,3,0
9,37,13,9,6,3,0,13,9,9,6,3,3
12,39,18,12,2,0,0,18,12,9,2,0,1
13,44,18,12,3,5,0,18,13,12,3,5,1
10,37,16,9,9,5,2,16,10,8,9,5,1
6,38,13,6,1,13,1,13,6,6,1,13,1
7,35,10,5,6,10,0,10,7,4,6,10,0
0,29,2,0,2,9,1,2,0,0,2,9,0
9,32,11,9,2,3,2,11,9,9,2,3,3
8,38,17,7,5,5,0,17,8,8,5,5,0
4,35,5,4,5,3,2,5,4,4,5,3,1
2,41,11,2,2,9,0,11,2,1,2,9,0
8,32,11,6,3,1,2,11,8,7,3,1,3
1,32,5,1,4,9,0,5,1,1,4,9,1
9,32,11,8,1,3,0,11,9,6,1,3,0
5,36,10,5,1,4,0,10,5,4,1,4,2
6,36,12,6,2,8,1,12,6,4,2,8,2
6,40,12,4,0,4,0,12,6,3,0,4,1
1,32,5,1,2,6,2,5,1,1,2,6,1
5,31,6,3,3,7,0,6,5,2,3,7,0
7,36,13,7,4,1,6,13,7,7,4,1,2
6,30,5,6,2,3,0,5,6,6,2,3,3
2,34,8,2,0,5,0,8,2,1,0,5,0
7,31,8,6,3,3,0,8,7,5,3,3,0
1,28,7,0,3,3,0,7,1,1,3,3,0
5,37,11,5,3,6,0,11,5,4,3,6,1
1,34,6,1,2,9,0,6,1,1,2,9,0
2,29,4,1,2,8,0,4,2,1,2,8,0
4,27,6,4,4,7,2,6,4,4,4,7,0
16,44,21,14,1,4,0,21,16,12,1,4,2
4,37,10,3,4,8,0,10,4,3,4,8,1
0,32,6,0,0,6,0,6,0,0,0,6,0
1,32,8,1,2,6,4,8,1,1,2,6,0
1,31,6,1,2,8,0,6,1,1,2,8,0
6,33,11,6,0,2,0,11,6,6,0,2,3
1,33,9,1,1,5,0,9,1,1,1,5,1
6,32,9,6,1,2,0,9,6,5,1,2,1
7,45,13,7,2,8,1,13,7,7,2,8,2
1,37,8,1,5,8,4,8,1,1,5,8,0
5,32,8,4,5,4,3,8,5,4,5,4,1
13,35,14,12,4,5,0,14,13,11,4,5,2
6,37,11,5,1,6,0,11,6,6,1,6,1
7,33,12,7,3,3,0,12,7,7,3,3,0
2,30,7,2,4,8,0,7,2,2,4,8,0
7,31,8,7,5,10,1,8,7,7,5,10,1
1,33,8,1,0,2,0,8,1,1,0,2,1
3,30,10,3,5,1,1,10,3,3,5,1,1
11,42,15,9,1,9,4,15,11,8,1,9,0
6,42,14,6,1,5,3,14,6,6,1,5,0
9,37,11,9,3,6,0,11,9,9,3,6,1
2,33,8,2,3,4,0,8,2,2,3,4,0
7,36,10,6,3,6,0,10,7,5,3,6,1
6,36,11,6,7,3,0,11,6,6,7,3,2
4,33,8,3,1,11,1,8,4,1,1,11,1
3,33,5,3,2,15,2,5,3,3,2,15,0
2,31,5,1,5,7,3,5,2,0,5,7,0
6,31,9,6,0,9,1,9,6,6,0,9,1
6,33,10,6,4,3,2,10,6,6,4,3,1
1,32,6,1,1,7,0,6,1,1,1,7,1
1,30,5,1,3,5,0,5,1,1,3,5,0
5,29,7,2,5,8,1,7,5,3,5,8,1
2,30,7,2,4,5,0,7,2,2,4,5,0
5,30,9,4,3,10,4,9,5,4,3,10,0
9,39,16,9,5,3,3,16,9,8,5,3,1
3,34,9,3,7,3,1,9,3,3,7,3,1
4,34,8,4,6,7,0,8,4,4,6,7,3
3,36,10,3,1,7,0,10,3,3,1,7,1
9,35,10,7,6,4,1,10,9,7,6,4,2
2,31,7,2,5,5,1,7,2,2,5,5,0
2,35,8,2,4,8,0,6,2,2,4,7,0
6,32,14,6,6,5,0,14,6,6,6,5,0
2,39,11,2,1,4,1,11,2,2,1,4,0
9,35,12,7,6,4,1,12,9,5,6,4,1
9,41,14,6,4,4,4,14,9,8,4,4,1
3,37,8,3,3,4,1,8,3,3,3,4,2
4,34,8,3,3,5,0,8,4,1,3,5,0
3,32,8,1,3,9,0,8,3,3,3,9,0
0,31,5,0,2,4,0,5,0,0,2,4,0
4,31,9,2,7,8,2,9,4,3,7,8,0
10,36,12,9,6,7,0,12,10,9,6,7,3
3,32,5,3,3,7,0,5,3,3,3,7,2
7,39,12,6,5,9,0,12,7,5,5,9,1
9,31,8,8,5,8,4,8,9,3,5,8,1
5,33,5,3,6,12,2,5,5,2,6,12,0
4,29,4,3,6,14,1,4,4,1,6,14,0
5,36,11,5,1,1,2,11,5,5,1,1,2
6,32,10,6,9,7,1,10,6,6,9,7,0
10,41,9,8,5,6,3,9,10,6,5,6,2
7,41,14,7,3,7,1,14,7,6,3,7,3
13,38,14,13,6,3,1,14,13,12,6,3,3
4,37,9,4,0,6,0,9,4,2,0,6,0
1,28,7,1,2,6,0,7,1,1,2,6,0
0,30,3,0,2,7,0,4,0,0,2,7,0
7,33,6,7,8,8,2,6,7,7,8,8,1
3,35,7,2,3,11,0,7,3,1,3,11,0
5,37,10,4,1,6,2,10,5,3,1,6,0
2,35,9,2,7,7,2,9,2,1,7,7,0
4,38,10,3,3,5,2,10,4,3,3,5,0
12,35,12,10,7,5,1,12,12,8,7,5,1
10,42,16,9,6,7,2,16,10,8,6,7,1
7,41,12,6,4,12,0,12,7,5,4,12,0
7,35,10,5,3,6,0,10,7,7,3,6,0
13,35,16,10,5,6,3,16,13,10,5,6,2
4,28,7,3,6,4,0,7,4,3,6,4,0
7,32,9,7,5,7,1,9,7,7,5,7,3
14,43,16,12,9,8,1,16,14,13,9,8,3
11,38,12,10,6,6,3,12,11,10,6,6,3
20,50,23,19,6,9,1,23,20,18,6,9,7
4,37,13,4,4,8,0,13,4,4,4,8,3
0,29,4,0,4,7,1,4,0,0,4,7,0
3,30,10,3,6,1,0,10,3,3,6,1,0
4,30,8,4,5,5,0,8,4,4,5,5,2
9,35,13,8,4,9,2,13,9,8,4,9,1
5,35,12,5,3,7,0,12,5,5,3,7,1
1,31,4,0,6,5,0,4,1,0,6,5,0
4,30,6,4,8,5,3,6,4,4,8,5,2
6,29,7,6,6,1,0,7,6,6,6,1,0
3,35,9,3,3,4,4,9,3,3,3,4,0
11,38,14,11,4,4,2,14,11,9,4,4,2
8,38,11,6,3,7,1,11,8,1,3,7,1
5,37,9,5,7,7,3,9,5,4,7,7,1
2,41,8,2,5,11,0,8,2,2,5,11,1
2,43,10,2,4,4,2,10,2,2,4,4,0
6,38,11,5,1,8,2,11,6,2,1,8,0
5,34,7,5,5,9,0,7,5,3,5,9,1
11,38,15,11,5,3,3,15,11,11,5,3,2
7,36,13,7,8,8,1,13,7,7,8,8,2
4,42,10,4,10,10,1,10,4,4,10,10,1
5,38,11,5,4,11,0,11,5,5,4,11,2
7,33,8,7,2,8,1,8,7,6,2,8,2
10,34,14,10,4,7,1,14,10,10,4,7,2
20,49,23,19,2,4,0,23,20,19,2,4,7
5,37,11,4,2,5,0,11,5,3,2,5,2
5,38,9,4,1,5,1,9,5,1,1,5,1
4,33,8,4,5,9,0,8,4,4,5,9,2
4,34,9,3,0,11,2,9,4,1,0,11,0
0,30,5,0,2,3,0,5,0,0,2,3,0
3,35,10,3,2,6,0,10,3,3,2,6,2
4,31,9,4,2,6,1,9,4,3,2,6,1
7,38,12,7,3,4,0,12,7,7,3,4,4
3,33,7,2,5,5,0,7,3,1,5,5,0
2,34,8,2,1,3,1,8,2,1,1,3,0
3,26,4,3,3,9,3,4,3,2,3,9,1
2,31,9,2,5,6,1,9,2,2,5,6,0
1,30,5,0,6,10,3,5,1,1,6,10,0
2,37,10,1,1,2,1,10,2,1,1,2,0
4,34,11,3,2,4,0,11,4,2,2,4,1
8,35,12,8,5,4,0,12,8,7,5,4,2
5,35,9,4,4,10,1,9,5,1,4,10,0
3,35,8,3,6,8,1,8,3,3,6,8,0
11,35,15,9,3,2,0,15,11,7,3,2,1
12,45,17,10,1,8,0,17,12,6,1,8,3
6,34,10,6,6,10,3,10,6,5,6,10,0
7,41,15,5,3,5,1,15,7,6,3,5,0
3,34,9,3,3,4,0,9,3,3,3,4,0
3,38,13,3,0,5,0,13,3,3,0,5,0
