score,BA,H,RBI,BB,k,SB,holds,avgR,ER,bb,SO,nHR
2,28,3,2,2,4,0,3,2,2,2,4,0
8,35,12,7,5,1,1,12,8,7,5,1,2
6,39,11,6,2,2,0,11,6,5,2,2,0
3,34,7,3,6,6,3,7,3,3,6,6,0
1,32,7,0,4,2,0,7,1,1,4,2,0
4,32,5,3,4,1,2,5,4,3,4,1,0
2,29,4,2,7,4,0,4,2,2,7,4,1
10,39,14,10,4,5,2,14,10,9,4,5,1
3,35,9,3,1,1,0,9,3,3,1,1,1
0,29,3,0,3,7,0,3,0,0,3,7,0
4,29,9,4,1,6,0,9,4,4,1,6,1
3,34,7,1,4,6,1,7,3,1,4,6,0
4,31,7,3,6,4,0,7,4,3,6,4,0
15,38,15,14,8,3,1,15,15,15,8,3,2
1,28,6,1,4,2,1,6,1,1,4,2,0
2,34,8,2,5,4,2,8,2,2,5,4,0
1,32,6,1,2,4,0,6,1,0,2,4,0
5,33,12,5,1,3,0,12,5,3,1,3,1
0,29,4,0,1,4,1,4,0,0,1,4,0
4,35,9,4,7,8,0,9,4,4,7,8,1
1,27,4,1,4,5,0,4,1,1,4,5,1
3,31,8,3,3,2,1,8,3,3,3,2,1
6,36,13,4,1,4,0,13,6,5,1,4,0
3,36,10,3,2,3,0,10,3,3,2,3,1
9,39,15,7,6,2,2,15,9,9,6,2,0
5,37,10,4,6,6,0,10,5,5,6,6,1
5,37,11,3,3,7,1,11,5,2,3,7,0
4,38,9,4,2,1,0,9,4,4,2,1,1
0,32,6,0,2,2,1,6,0,0,2,2,0
3,32,8,2,2,3,1,8,3,2,2,3,1
8,29,8,7,6,0,1,8,8,7,6,0,0
5,33,8,5,3,6,0,8,5,4,3,6,1
11,41,18,11,2,3,0,18,11,10,2,3,0
3,34,9,3,5,8,3,9,3,3,5,8,0
1,29,4,1,5,4,2,4,1,1,5,4,1
11,38,14,11,7,1,2,14,11,8,7,1,1
5,32,7,5,8,4,1,7,5,5,8,4,1
8,30,8,6,3,4,1,8,8,6,3,4,0
2,32,5,2,3,6,0,5,2,2,3,6,2
11,44,20,10,1,3,0,20,11,10,1,3,1
3,33,8,3,5,3,1,8,3,3,5,3,0
8,31,13,6,0,0,1,13,8,5,0,0,0
1,21,3,1,3,1,1,3,1,0,3,1,0
4,35,9,3,4,5,0,9,4,3,4,5,0
2,28,3,2,7,13,3,3,2,2,7,13,0
8,37,12,8,4,0,4,12,8,6,4,0,1
2,33,7,2,0,3,0,7,2,2,0,3,0
8,40,15,8,3,4,3,15,8,6,3,4,1
2,34,10,2,2,3,0,10,2,2,2,3,1
5,36,9,4,0,0,3,9,5,0,0,0,0
14,38,16,13,3,5,0,16,14,10,3,5,2
6,37,8,4,2,8,0,8,6,5,2,8,1
7,32,7,3,3,8,0,7,7,3,3,8,1
6,30,7,4,3,3,1,7,6,4,3,3,1
4,34,8,4,3,3,0,8,4,4,3,3,0
8,39,12,8,3,3,2,12,8,8,3,3,2
3,32,6,3,0,7,2,6,3,3,0,7,1
7,39,10,5,1,8,1,10,7,5,1,8,2
3,35,10,3,0,3,0,10,3,3,0,3,2
0,29,3,0,4,4,0,3,0,0,4,4,0
5,33,12,5,3,3,3,12,5,5,3,3,0
6,34,12,5,0,3,0,12,6,4,0,3,0
7,35,12,6,4,6,0,12,7,7,4,6,1
8,38,12,8,4,8,0,12,8,8,4,8,1
